"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\MERN App\RamaporoadRunners-Mart\backend\app.js", "JavaScript", 21, 20, 19, 60
"d:\MERN App\RamaporoadRunners-Mart\backend\config\database.js", "JavaScript", 7, 18, 2, 27
"d:\MERN App\RamaporoadRunners-Mart\backend\controllers\order.js", "JavaScript", 136, 157, 43, 336
"d:\MERN App\RamaporoadRunners-Mart\backend\controllers\payment.js", "JavaScript", 16, 44, 8, 68
"d:\MERN App\RamaporoadRunners-Mart\backend\controllers\post.js", "JavaScript", 247, 164, 53, 464
"d:\MERN App\RamaporoadRunners-Mart\backend\controllers\user.js", "JavaScript", 444, 307, 106, 857
"d:\MERN App\RamaporoadRunners-Mart\backend\middlewares\auth.js", "JavaScript", 23, 24, 14, 61
"d:\MERN App\RamaporoadRunners-Mart\backend\middlewares\sendEmail.js", "JavaScript", 29, 27, 12, 68
"d:\MERN App\RamaporoadRunners-Mart\backend\models\Order.js", "JavaScript", 104, 55, 12, 171
"d:\MERN App\RamaporoadRunners-Mart\backend\models\Post.js", "JavaScript", 48, 47, 7, 102
"d:\MERN App\RamaporoadRunners-Mart\backend\models\user.js", "JavaScript", 75, 55, 17, 147
"d:\MERN App\RamaporoadRunners-Mart\backend\routes\order.js", "JavaScript", 24, 71, 11, 106
"d:\MERN App\RamaporoadRunners-Mart\backend\routes\payment.js", "JavaScript", 7, 34, 5, 46
"d:\MERN App\RamaporoadRunners-Mart\backend\routes\post.js", "JavaScript", 28, 64, 8, 100
"d:\MERN App\RamaporoadRunners-Mart\backend\routes\user.js", "JavaScript", 36, 94, 18, 148
"d:\MERN App\RamaporoadRunners-Mart\backend\server.js", "JavaScript", 13, 13, 8, 34
"Total", "-", 1258, 1194, 343, 2795
