"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Actions\Cart.js", "JavaScript", 30, 0, 0, 56, 11, 97
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Actions\Order.js", "JavaScript", 118, 0, 0, 125, 31, 274
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Actions\Post.js", "JavaScript", 142, 0, 0, 118, 11, 271
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Actions\User.js", "JavaScript", 328, 0, 0, 296, 41, 665
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\App.css", "CSS", 0, 0, 4, 0, 1, 5
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\App.js", "JavaScript", 132, 0, 0, 13, 48, 193
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Account\Account.css", "CSS", 0, 0, 73, 11, 15, 99
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Account\Account.jsx", "JavaScript JSX", 0, 178, 0, 12, 48, 238
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Admin\Dashboard.css", "CSS", 0, 0, 85, 11, 20, 116
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Admin\Dashboard.js", "JavaScript", 91, 0, 0, 13, 29, 133
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Admin\OrderList.js", "JavaScript", 114, 0, 0, 13, 17, 144
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Admin\ProcessOrder.css", "CSS", 0, 0, 38, 11, 8, 57
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Admin\ProcessOrder.js", "JavaScript", 178, 0, 0, 13, 34, 225
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Admin\ProductList.css", "CSS", 0, 0, 46, 11, 12, 69
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Admin\ProductList.js", "JavaScript", 73, 0, 0, 13, 21, 107
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Admin\Sidebar.css", "CSS", 0, 0, 33, 11, 13, 57
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Admin\Sidebar.js", "JavaScript", 43, 0, 0, 13, 15, 71
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Cart\Cart.css", "CSS", 0, 0, 157, 12, 37, 206
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Cart\Cart.js", "JavaScript", 87, 0, 0, 12, 20, 119
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Cart\CartItemCart.css", "CSS", 0, 0, 50, 11, 16, 77
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Cart\CartItemCart.js", "JavaScript", 16, 0, 0, 14, 3, 33
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Cart\CheckoutSteps.css", "CSS", 0, 0, 11, 11, 5, 27
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Cart\CheckoutSteps.js", "JavaScript", 44, 0, 0, 13, 9, 66
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Cart\ConfirmOrder.css", "CSS", 0, 0, 165, 11, 40, 216
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Cart\ConfirmOrder.js", "JavaScript", 106, 0, 0, 16, 14, 136
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Cart\Payment.css", "CSS", 0, 0, 75, 11, 15, 101
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Cart\Payment.js", "JavaScript", 123, 0, 0, 18, 32, 173
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Cart\Shipping.css", "CSS", 0, 0, 95, 12, 21, 128
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Cart\Shipping.js", "JavaScript", 122, 0, 0, 14, 25, 161
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Cart\Success.css", "CSS", 0, 0, 41, 11, 11, 63
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Cart\Success.js", "JavaScript", 15, 0, 0, 14, 4, 33
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\CommentCard\CommentCard.css", "CSS", 0, 0, 26, 11, 5, 42
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\CommentCard\CommentCard.jsx", "JavaScript JSX", 0, 47, 0, 24, 7, 78
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\ForgotPassword\ForgotPassword.css", "CSS", 0, 0, 40, 11, 6, 57
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\ForgotPassword\ForgotPassword.jsx", "JavaScript JSX", 0, 47, 0, 14, 9, 70
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Header\Header.css", "CSS", 0, 0, 67, 11, 13, 91
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Header\Header.jsx", "JavaScript JSX", 0, 96, 0, 16, 27, 139
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Home\Home.css", "CSS", 0, 0, 47, 11, 10, 68
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Home\Home.jsx", "JavaScript JSX", 0, 81, 0, 16, 19, 116
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Loader\Loader.css", "CSS", 0, 0, 23, 11, 4, 38
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Loader\Loader.jsx", "JavaScript JSX", 0, 10, 0, 14, 4, 28
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Login\Login.css", "CSS", 0, 0, 50, 11, 8, 69
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Login\Login.jsx", "JavaScript JSX", 0, 60, 0, 16, 13, 89
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\NewPost\NewPost.css", "CSS", 0, 0, 73, 11, 10, 94
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\NewPost\NewPost.jsx", "JavaScript JSX", 0, 79, 0, 16, 12, 107
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\NotFound\NotFound.css", "CSS", 0, 0, 33, 11, 6, 50
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\NotFound\NotFound.jsx", "JavaScript JSX", 0, 21, 0, 16, 4, 41
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Order\MyOrder.css", "CSS", 0, 0, 63, 12, 17, 92
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Order\MyOrder.js", "JavaScript", 95, 0, 0, 18, 13, 126
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Order\OrderDetails.css", "CSS", 0, 0, 88, 1, 20, 109
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\Order\OrderDetails.js", "JavaScript", 113, 0, 0, 25, 10, 148
